-75.27362,39.8763,0.2869,
126,42431 ,26749 ,Theft from Vehicle,1054
127,36993 ,61894 ,Rape,1056
128,57096 ,52231 ,Aggravated Assault Firearm,1071
129,36051 ,35202 ,Aggravated Assault Firearm,1085
130,37831 ,12919 ,Theft from Vehicle,1096
131,42906 ,66447 ,Aggravated Assault No Firearm,1098
132,58618 ,48107 ,Robbery Firearm,1100
133,63117 ,39081 ,Motor Vehicle Theft,1102
134,77591 ,55385 ,Robbery Firearm,1105
135,43715 ,29686 ,Rape,1120
136,36071 ,58229 ,Robbery No Firearm,1121
137,37359 ,22205 ,Motor Vehicle Theft,1130
138,41756 ,39469 ,Burglary Residential,1139
139,48179 ,35034 ,Robbery No Firearm,1142
140,43768 ,18825 ,Aggravated Assault No Firearm,1152
141,29513 ,20012 ,Burglary Residential,1157
142,58618 ,48107 ,Robbery Firearm,1162
143,37499 ,19001 ,Theft from Vehicle,1168
144,44164 ,23836 ,Theft from Vehicle,1181
145,73452 ,51210 ,Robbery Firearm,1191
146,81332 ,52716 ,Burglary Residential,1201
147,32425 ,36201 ,Aggravated Assault No Firearm,1219
148,28506 ,56806 ,Burglary Residential,1234
149,101530 ,70285 ,Robbery Firearm,1241
150,35229 ,60191 ,Aggravated Assault No Firearm,1250
151,50198 ,42034 ,Robbery No Firearm,1277
152,52551 ,41960 ,Theft from Vehicle,1278
153,67595 ,49797 ,Burglary Residential,1298
154,49762 ,39917 ,Aggravated Assault No Firearm,1306
155,42011 ,16849 ,Burglary Residential,1330
156,43133 ,16988 ,Robbery No Firearm,1383
157,44955 ,57007 ,Theft from Vehicle,1394
158,14920 ,15904 ,Motor Vehicle Theft,1397
159,42405 ,45246 ,Motor Vehicle Theft,1409
160,38365 ,43560 ,Burglary Residential,1432
161,17944 ,17016 ,Burglary Residential,1438
162,13386 ,17915 ,Burglary Residential,1440
163,30013 ,21756 ,Burglary Residential,1449
164,80307 ,55523 ,Motor Vehicle Theft,1467
165,73495 ,58018 ,Burglary Residential,1473
166,41021 ,15470 ,Robbery Firearm,1478
167,14431 ,35817 ,Burglary Residential,1489
168,40195 ,35213 ,Robbery No Firearm,1496
169,66519 ,52232 ,Aggravated Assault Firearm,1499
170,17972 ,24359 ,Aggravated Assault No Firearm,1500
171,44652 ,40042 ,Robbery No Firearm,1558
172,35005 ,60767 ,Aggravated Assault No Firearm,1561
173,32425 ,36201 ,Aggravated Assault Firearm,1576
174,16190 ,25324 ,Robbery Firearm,1579
175,16273 ,15351 ,Aggravated Assault Firearm,1595
176,50528 ,43717 ,Burglary Non-Residential,1632
177,40207 ,16237 ,Robbery No Firearm,1636
178,39671 ,51740 ,Robbery Firearm,1687
179,16273 ,15351 ,Aggravated Assault Firearm,1697
180,20106 ,55005 ,Robbery No Firearm,1710
181,53558 ,40605 ,Burglary Non-Residential,1713
182,33666 ,15766 ,Motor Vehicle Theft,1715
183,47448 ,30933 ,Theft from Vehicle,1733
184,7350 ,8461 ,Burglary Residential,1745
185,56794 ,49647 ,Burglary Residential,1917
186,35440 ,38684 ,Burglary Residential,1921
187,37961 ,17670 ,Theft from Vehicle,1950
188,48158 ,32200 ,Robbery No Firearm,1978
189,59592 ,40353 ,Motor Vehicle Theft,1989
190,15542 ,60131 ,Theft from Vehicle,2016
191,44675 ,54865 ,Theft from Vehicle,2021
192,16767 ,57591 ,Burglary Non-Residential,2026
193,45879 ,31675 ,Theft from Vehicle,2029
194,52233 ,37154 ,Theft from Vehicle,2040
195,31172 ,59078 ,Burglary Residential,2049
196,18694 ,43516 ,Motor Vehicle Theft,2066
197,67169 ,58181 ,Aggravated Assault No Firearm,2070
198,50839 ,36661 ,Theft from Vehicle,2073
199,18421 ,32312 ,Aggravated Assault No Firearm,2086
200,34761 ,36747 ,Burglary Non-Residential,2098
201,32702 ,22819 ,Theft from Vehicle,2103
